Core: uphysvddriii_qr_dimmx64x2clkx2rank_667_cl11_t1_p0 - Instance: IC_1_Bank_B_Ctrl_cmp|multiport|ram|afi_phy_cmp|uphysvddriii_qr_dimmx64x2clkx2rank_667_cl11_t1_inst
Path, Setup Margin, Hold Margin
"Address Command (Slow 900mV 85C Model)",0.304,0.316
"Bus Turnaround Time (Slow 900mV 85C Model)",3.277,--
"Core (Slow 900mV 85C Model)",0.222,0.132
"Core Recovery/Removal (Slow 900mV 85C Model)",0.451,0.165
"Postamble (Slow 900mV 85C Model)",0.257,0.257
"Read Capture (Slow 900mV 85C Model)",0.142,0.118
"Read Resync (Slow 900mV 85C Model)",1.743,13.592
"Write (Slow 900mV 85C Model)",0.136,0.136
"Write Leveling tDQSS (Slow 900mV 85C Model)",0.199,0.199
"Write Leveling tDSS/tDSH (Slow 900mV 85C Model)",0.252,0.252
"Address Command (Slow 900mV 0C Model)",0.346,0.332
"Bus Turnaround Time (Slow 900mV 0C Model)",3.328,--
"Core (Slow 900mV 0C Model)",0.235,0.154
"Core Recovery/Removal (Slow 900mV 0C Model)",0.617,0.188
"Postamble (Slow 900mV 0C Model)",0.287,0.287
"Read Capture (Slow 900mV 0C Model)",0.156,0.132
"Read Resync (Slow 900mV 0C Model)",1.797,13.641
"Write (Slow 900mV 0C Model)",0.17,0.17
"Write Leveling tDQSS (Slow 900mV 0C Model)",0.199,0.199
"Write Leveling tDSS/tDSH (Slow 900mV 0C Model)",0.252,0.252
"Address Command (Fast 900mV 85C Model)",0.316,0.351
"Bus Turnaround Time (Fast 900mV 85C Model)",3.47,--
"Core (Fast 900mV 85C Model)",0.128,0.076
"Core Recovery/Removal (Fast 900mV 85C Model)",1.356,0.136
"Postamble (Fast 900mV 85C Model)",0.294,0.294
"Read Capture (Fast 900mV 85C Model)",0.17,0.146
"Read Resync (Fast 900mV 85C Model)",2.011,13.891
"Write (Fast 900mV 85C Model)",0.173,0.173
"Write Leveling tDQSS (Fast 900mV 85C Model)",0.199,0.199
"Write Leveling tDSS/tDSH (Fast 900mV 85C Model)",0.252,0.252
"Address Command (Fast 900mV 0C Model)",0.358,0.341
"Bus Turnaround Time (Fast 900mV 0C Model)",3.485,--
"Core (Fast 900mV 0C Model)",0.129,0.074
"Core Recovery/Removal (Fast 900mV 0C Model)",1.477,0.131
"Postamble (Fast 900mV 0C Model)",0.256,0.256
"Read Capture (Fast 900mV 0C Model)",0.178,0.154
"Read Resync (Fast 900mV 0C Model)",2.008,13.881
"Write (Fast 900mV 0C Model)",0.186,0.186
"Write Leveling tDQSS (Fast 900mV 0C Model)",0.199,0.199
"Write Leveling tDSS/tDSH (Fast 900mV 0C Model)",0.252,0.252
